customerID,gender,Usia >65 Tahun (SeniorCitizen),Memiliki Pasangan (Partner),Memiliki Tanggungan (Dependents),Lama Berlangganan (tenure),Layanan Telepon (PhoneService),Memiliki Beberapan Layanan Telepon (MultipleLines),Jenis Layanan Internet (InternetService),Memiliki Keamanan Online (OnlineSecurity), Memiliki Backup Online (OnlineBackup),Memiliki Perlindungan Perangkat (DeviceProtection),Memiliki Dukungan Teknis (TechSupport),Layanan Streaming TV (StreamingTV), Layanan Streaming Film (StreamingMovies),Jenis Kontrak Pelanggan (Contract),Tagihan Paperless (PaperlessBilling),Metode Pembayaran (PaymentMethod),Jumlah Tagihan per Bulan (MonthlyCharges),Total Tagihan Selama Menjadi Pelanggan (TotalCharges),Churn
CUST0001,Female,0,No,Yes,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,90.43,2078.72,No
CUST0002,Female,0,Yes,No,16,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),72.77,1160.13,Yes
CUST0003,Male,0,Yes,Yes,40,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),58.11,2326.53,No
CUST0004,Male,0,No,Yes,48,No,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),49.42,2375.62,Yes
CUST0005,Female,0,No,No,19,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,71.03,1348.41,No
CUST0006,Male,0,No,No,12,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,No,Electronic check,86.6,1040.4,No
CUST0007,Female,1,Yes,No,55,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,104.93,5775.8,No
CUST0008,Female,0,Yes,No,62,No,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),115.34,7153.5,No
CUST0009,Male,0,Yes,Yes,8,No,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),57.98,459.14,No
CUST0010,Female,0,Yes,No,21,Yes,No phone service,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),72.79,1528.79,No
CUST0011,Female,0,No,No,13,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),46.18,602.87,No
CUST0012,Female,1,No,No,11,No,Yes,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,87.02,956.29,No
CUST0013,Female,0,No,Yes,67,No,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,103.99,6971.67,No
CUST0014,Male,1,Yes,No,50,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,29.97,1501.69,No
CUST0015,Male,0,Yes,Yes,10,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),72.28,723.88,No
